country	country_code	year_week	new_cases	variant	percent_variant	number_cases_ratio	population	normalized_counts
Austria	AT	2020-40	5597	B.1.1.529	0.0	0.0	8901064.0	0.0
Austria	AT	2020-40	5597	B.1.1.7	0.0	0.0	8901064.0	0.0
Austria	AT	2020-40	5597	B.1.617.2	0.0	0.0	8901064.0	0.0
Austria	AT	2020-41	7486	B.1.1.529	0.0	0.0	8901064.0	0.0
Austria	AT	2020-41	7486	B.1.1.7	0.0	0.0	8901064.0	0.0
Austria	AT	2020-41	7486	B.1.617.2	0.0	0.0	8901064.0	0.0
Austria	AT	2020-42	9903	B.1.1.529	0.0	0.0	8901064.0	0.0
Austria	AT	2020-42	9903	B.1.1.7	0.0	0.0	8901064.0	0.0
Austria	AT	2020-42	9903	B.1.617.2	0.0	0.0	8901064.0	0.0
Austria	AT	2020-43	18274	B.1.1.529	0.0	0.0	8901064.0	0.0
Austria	AT	2020-43	18274	B.1.1.7	0.0	0.0	8901064.0	0.0
Austria	AT	2020-43	18274	B.1.617.2	0.0	0.0	8901064.0	0.0
Austria	AT	2020-44	31613	B.1.1.529	0.0	0.0	8901064.0	0.0
Austria	AT	2020-44	31613	B.1.1.7	0.0	0.0	8901064.0	0.0
Austria	AT	2020-44	31613	B.1.617.2	0.0	0.0	8901064.0	0.0
Austria	AT	2020-45	44758	B.1.1.529	0.0	0.0	8901064.0	0.0
Austria	AT	2020-45	44758	B.1.1.7	0.0	0.0	8901064.0	0.0
Austria	AT	2020-45	44758	B.1.617.2	0.0	0.0	8901064.0	0.0
Austria	AT	2020-46	47880	B.1.1.529	0.0	0.0	8901064.0	0.0
Austria	AT	2020-46	47880	B.1.1.7	0.0	0.0	8901064.0	0.0
Austria	AT	2020-46	47880	B.1.617.2	0.0	0.0	8901064.0	0.0
Austria	AT	2020-47	40742	B.1.1.529	0.0	0.0	8901064.0	0.0
Austria	AT	2020-47	40742	B.1.1.7	0.0	0.0	8901064.0	0.0
Austria	AT	2020-47	40742	B.1.617.2	0.0	0.0	8901064.0	0.0
Austria	AT	2020-48	31162	B.1.1.529	0.0	0.0	8901064.0	0.0
Austria	AT	2020-48	31162	B.1.1.7	2.1	654.402	8901064.0	0.007351952530618811
Austria	AT	2020-48	31162	B.1.617.2	0.0	0.0	8901064.0	0.0
Austria	AT	2020-49	23078	B.1.1.529	0.0	0.0	8901064.0	0.0
Austria	AT	2020-49	23078	B.1.1.7	0.0	0.0	8901064.0	0.0
Austria	AT	2020-49	23078	B.1.617.2	0.0	0.0	8901064.0	0.0
Austria	AT	2020-50	18701	B.1.1.529	0.0	0.0	8901064.0	0.0
Austria	AT	2020-50	18701	B.1.1.7	0.0	0.0	8901064.0	0.0
Austria	AT	2020-50	18701	B.1.617.2	0.0	0.0	8901064.0	0.0
Austria	AT	2020-51	14864	B.1.1.529	0.0	0.0	8901064.0	0.0
Austria	AT	2020-51	14864	B.1.1.7	0.0	0.0	8901064.0	0.0
Austria	AT	2020-51	14864	B.1.617.2	0.0	0.0	8901064.0	0.0
Austria	AT	2020-52	13340	B.1.1.529	0.0	0.0	8901064.0	0.0
Austria	AT	2020-52	13340	B.1.1.7	1.9	253.45999999999998	8901064.0	0.0028475247453562855
Austria	AT	2020-52	13340	B.1.617.2	0.0	0.0	8901064.0	0.0
Austria	AT	2020-53	14895	B.1.1.529	0.0	0.0	8901064.0	0.0
Austria	AT	2020-53	14895	B.1.1.7	5.4	804.33	8901064.0	0.009036335431359666
Austria	AT	2020-53	14895	B.1.617.2	0.0	0.0	8901064.0	0.0
Austria	AT	2021-01	14634	B.1.1.529	0.0	0.0	8901064.0	0.0
Austria	AT	2021-01	14634	B.1.1.7	36.6	5356.044	8901064.0	0.06017307593788788
Austria	AT	2021-01	14634	B.1.617.2	0.0	0.0	8901064.0	0.0
Austria	AT	2021-02	10947	B.1.1.529	0.0	0.0	8901064.0	0.0
Austria	AT	2021-02	10947	B.1.1.7	50.6	5539.182	8901064.0	0.06223056030155496
Austria	AT	2021-02	10947	B.1.617.2	0.6	65.682	8901064.0	0.0007379117822318771
Austria	AT	2021-03	10165	B.1.1.529	0.0	0.0	8901064.0	0.0
Austria	AT	2021-03	10165	B.1.1.7	17.1	1738.2150000000001	8901064.0	0.019528171014161905
Austria	AT	2021-03	10165	B.1.617.2	0.0	0.0	8901064.0	0.0
Austria	AT	2021-04	9513	B.1.1.529	0.0	0.0	8901064.0	0.0
