Country	Country_Code	Year_Week	New_Cases	B.1.1.529	B.1.1.7	B.1.617.2	Population
Austria	AT	2020-40	5597	0.0	0.0	0.0	8901064.0
Austria	AT	2020-41	7486	0.0	0.0	0.0	8901064.0
Austria	AT	2020-42	9903	0.0	0.0	0.0	8901064.0
Austria	AT	2020-43	18274	0.0	0.0	0.0	8901064.0
Austria	AT	2020-44	31613	0.0	0.0	0.0	8901064.0
Austria	AT	2020-45	44758	0.0	0.0	0.0	8901064.0
Austria	AT	2020-46	47880	0.0	0.0	0.0	8901064.0
Austria	AT	2020-47	40742	0.0	0.0	0.0	8901064.0
Austria	AT	2020-48	31162	0.0	0.007351952530618811	0.0	8901064.0
Austria	AT	2020-49	23078	0.0	0.0	0.0	8901064.0
Austria	AT	2020-50	18701	0.0	0.0	0.0	8901064.0
Austria	AT	2020-51	14864	0.0	0.0	0.0	8901064.0
Austria	AT	2020-52	13340	0.0	0.0028475247453562855	0.0	8901064.0
Austria	AT	2020-53	14895	0.0	0.009036335431359666	0.0	8901064.0
Austria	AT	2021-01	14634	0.0	0.05655611508916236	0.00427459009394832	8901064.0
Austria	AT	2021-02	10947	0.0	0.04452067752798992	0.0009838823763091693	8901064.0
Austria	AT	2021-03	10165	0.0	0.04910592711163519	0.0006851989829530493	8901064.0
Austria	AT	2021-04	9513	0.0	0.060277423013698136	0.00032062459049839436	8901064.0
Austria	AT	2021-05	9119	0.0	0.0716114500468708	0.0003073452791711193	8901064.0
Austria	AT	2021-06	9457	0.0	0.05152917673662384	0.00021249145046030454	8901064.0
Austria	AT	2021-07	11635	0.0	0.07293880821438874	0.0001307147100616286	8901064.0
Austria	AT	2021-08	14197	0.0	0.13972006043322457	0.00015949778588267652	8901064.0
Austria	AT	2021-09	16324	0.0	0.16487103114863572	0.00018339380550460037	8901064.0
Austria	AT	2021-10	18225	0.0	0.18222821451457938	0.0002047508028253701	8901064.0
Austria	AT	2021-11	21094	0.0	0.20901892178283404	0.00023698290451568487	8901064.0
Austria	AT	2021-12	22326	0.0	0.19664597400939932	0.00025082394644056037	8901064.0
Austria	AT	2021-13	20788	0.0	0.1751588349437775	0.00023354511325837004	8901064.0
Austria	AT	2021-14	17616	0.0	0.12943243639187405	0.00019790892414659638	8901064.0
Austria	AT	2021-15	16822	0.0	0.12700036759650307	0.000188988642256701	8901064.0
Austria	AT	2021-16	15048	0.0	0.12189113571141608	0.00016905844065383642	8901064.0
Austria	AT	2021-17	12537	0.0	0.11000254576306831	0.000140848330042341	8901064.0
Austria	AT	2021-18	9021	0.0	0.07631461811756438	0.0001013474344190762	8901064.0
Austria	AT	2021-19	5736	0.0	0.049749018768992105	0.00012888346831345108	8901064.0
Austria	AT	2021-20	4156	0.0	0.03553188697441115	0.00018676418909020312	8901064.0
Austria	AT	2021-21	3160	0.0	0.024566950647697854	0.00042601648522019387	8901064.0
Austria	AT	2021-22	2424	0.0	0.01805527968341762	0.0010348425761234836	8901064.0
Austria	AT	2021-23	1685	0.0	0.012645454520942664	0.00287740881314863	8901064.0
Austria	AT	2021-24	1002	0.0	0.004941858636225961	0.005932481779706336	8901064.0
